commit,score
"Merge pull request from GHSA-2q5c-qw9c-fmvq * fix: prevent app enumerationSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>fix testsSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>better commentsSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>tests for streaming API callsSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>fix loggingSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>logsSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>warnSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>fix reversed arg orderSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>* more tests, fix incorrect param useSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>similar requestsSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>* fix merge issueSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>* fix CLI to understand permission denied is not a fatal errorSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>* fix test to expect permission denied instead of validation errorSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>* upgrade notesSigned-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>---------Signed-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>",1
update,0
 Fix XSS in some dashboards queries (#2785) * prevent xss on time range text fields* prevent xss on dashbord queries,1
refactor: upgrade @graphql-tools/utils from 8.6.12 to 8.6.13 (#8086),0
fix of #990 ,1
Update TFRT dependency to use revisionhttp://github.com/tensorflow/runtime/commit/fa9afb1ad2a60a44f690a44cedf9863abe841230.PiperOrigin-RevId: 575381723,0
Add visibility for //learning/metadata/artifactoid/ccPiperOrigin-RevId: 575932165,0
Merge pull request from GHSA-grg4-wf29-r9vv Motivation:We should do the Bzip2 decoding in a streaming fashion and so ensure we propagate the buffer as soon as possible through the pipeline. This allows the users to release these buffers as fast as possible.Modification:- Change the Bzip2Decoder to do the decompression of data in a streaming fashion.- Add some safety check to ensure the block length never execeeds the maximum (as defined in the spec)Result:No more risk of an OOME by decompress some large data via bzip2.Thanks to Ori Hollander of JFrog Security for reporting the issue.(we got acquired during the process and now Vdoo is part of JFrog company),1
"Disable CockroachDB model tests since they are flaky (#23391)Closes #22645Signed-off-by: Michal Hajas <mhajas@redhat.com>",0
"[TASK] Simplify markup of collapse buttonsWe are removing the obsolete .collapseIconwrapper and replace the icons directly.Resolves: #101854Releases: main, 12.4Change-Id: I7c640eba173edc167910312087c46d6614d7f5c1Reviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/80876Tested-by: Andreas Fernandez <a.fernandez@scripting-base.de>Tested-by: core-ci <typo3@b13.com>Reviewed-by: Andreas Fernandez <a.fernandez@scripting-base.de>Tested-by: Benjamin Franzke <ben@bnf.dev>Reviewed-by: Benjamin Kott <benjamin.kott@outlook.com>Tested-by: Benjamin Kott <benjamin.kott@outlook.com>Reviewed-by: Benjamin Franzke <ben@bnf.dev>",0
"[!!!][TASK] Drastically speed up `bin/typo3 cleanup:flexforms`CLI command `bin/typo3 cleanup:flexforms` of ext:lowlevelis extremely slow due to its page-tree-based strategy.It can run many hours on seasoned instances.Rewriting the command towards a TCA tablebased approach speeds it up dramatically.Example data point with my tiny test DB: Before ~450seconds, with patch ~0.5 seconds.Resolves: #102181Releases: mainChange-Id: I9451b40953c3a6fa02c690591751e1170d486bebReviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/81436Tested-by: Benni Mack <benni@typo3.org>Reviewed-by: Garvin Hicking <gh@faktor-e.de>Tested-by: Christian Kuhn <lolli@schwarzbu.ch>Tested-by: Stefan Bürk <stefan@buerk.tech>Reviewed-by: Benni Mack <benni@typo3.org>Tested-by: Garvin Hicking <gh@faktor-e.de>Reviewed-by: Christian Kuhn <lolli@schwarzbu.ch>Reviewed-by: Stefan Bürk <stefan@buerk.tech>Tested-by: core-ci <typo3@b13.com>",0
sanitize extension ID in getExtensionIdForOpcode ,1
adds the ability to set the default groups via kcadmCloses #19125,0
XWIKI-20293: Improved IncludedDocuments panel escaping ,1
Fix LDAP vulnerability ,1
update,0
Merge branch 'patrik-monthly-report' into 'master'WIP Patrik monthly reportSee merge request ikus-soft/rdiffweb!321,0
[SECURITY-359] ,1
fix: access control (#870) ,1
Merge remote-tracking branch 'origin/feat/1.1.2/errmsg' into test,0
Merge pull request from GHSA-pcpm-vc4v-cmvx ,1
Fix MPLS Tab Display for Nokia devices using LDP and not RSVP (#15128),0
"Fix validation: memcached required only if it is configured in .env (#15122)* Fix validation: memcached required if it is configured in .env* Remove unuse namespace",1
"[JIT][Security] Do not blindly eval input string (#89189) Introduce `_eval_no_call` method, that evaluates statement only if itdoes not contain any calls(done by examining the bytecode), thus preventing command injection exploitAdded simple unit test to check for that`torch.jit.annotations.get_signature` would not result in calling randomcode.Although, this code path exists for Python-2 compatibility, and perhapsshould be simply removed.Fixes #88868Pull Request resolved: #89189Approved by: https://github.com/suo",1
"feat: Improve authentication adapter interface to support multi-factor authentication (MFA), authentication challenges, and provide a more powerful interface for writing custom authentication adapters (#8156)",0
[SECURITY-754] ,1
import postman,0
Merge pull request from GHSA-gcv9-6737-pjqw validate proxied paths starting with /,1
Merge branch 'patrik-edit-release-date' into 'master'Update 2.4.0 release dateSee merge request ikus-soft/rdiffweb!223,0
Merge branch 'patrik-sqlalchemy-2.0' into 'master'Add support for SQLAlchmey v2.0 #256See merge request ikus-soft/rdiffweb!333,0
"[TASK] Update `terser` to 5.22Executed commands:    npm install --save-dev terser@^5.22.0    npm run buildResolves: #102201Releases: main, 12.4Change-Id: I16e9c884f7314b8b38d7587341a57f2777e89986Reviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/81475Tested-by: Oliver Klee <typo3-coding@oliverklee.de>Tested-by: Benjamin Franzke <ben@bnf.dev>Tested-by: Andreas Kienast <a.fernandez@scripting-base.de>Tested-by: core-ci <typo3@b13.com>Reviewed-by: Andreas Kienast <a.fernandez@scripting-base.de>Reviewed-by: Oliver Klee <typo3-coding@oliverklee.de>Reviewed-by: Benjamin Franzke <ben@bnf.dev>",0
Translated using Weblate (Russian)Currently translated at 100.0% (10 of 10 strings)Translation: XWiki Platform/xwiki-platform-search-solr-ui-adminTranslate-URL: https://l10n.xwiki.org/projects/xwiki-platform/xwiki-platform-search-solr-ui-admin/ru/,0
[XLA] Add config to not re-use the insertion buffer for forward pipelining.It's a lambda accepting the instruction to move as input and return a bool (HloPredicate)PiperOrigin-RevId: 575261187,0
1.0.1 + Prototype Pollution fix+ dependencies are up to date,1
[Misc] Update dependency @babel/eslint-parser to v7.22.15 (#2378),0
update,0
Touch up the requirements' updater README.PiperOrigin-RevId: 575850088,0
Merge pull request from GHSA-7rpc-9m88-cf9w * 固定ページプレビュー実行時に入力内容検証を追加* SimpleZipの利用を停止しZipArchiveの利用に切り替え* 不要コード除去* BcZip利用時、ZipArchiveをopenしていない場合エラーログが出力される問題を改善,1
"Additional contact options for email transports (#15266)* Additional options for email transportsSimilar system email options will be deprecated* Fix lint and style issues",0
auth/pam: Check for account/password expiry See GHSA-6cp7-g972-w9m9. Thanks Youssef Rebahi-Gilbert (ysf) forreporting the issue.,1
Merge pull request #13690 from snipe/localization/allUpdated language strings,0
Update EXT4 quota documentation,0
Merge pull request #7392 from radarhere/eps,0
"[TASK] Load CKEditor5 modules from their package entry pointsMake sure that all imports are from the package entry pointinstead of the path to a module as suggested by upstream:https://ckeditor.com/docs/ckeditor5/latest/updating/guides/update-to-37.htmlNote: `LinkActionsView` still needs to be imported from`@ckeditor/ckeditor5-link/src/ui/linkactionsview.js` and`LinkUtils` from `@ckeditor/ckeditor5-link/src/utils.js`as they are not exported as named exports on the packageentry points.Resolves: #101916Releases: main, 12.4Change-Id: I3171fd44c99984dc9a768122fe2297e1b7b6106fReviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/81012Tested-by: core-ci <typo3@b13.com>Reviewed-by: Benjamin Franzke <ben@bnf.dev>Reviewed-by: Andreas Fernandez <a.fernandez@scripting-base.de>Tested-by: Benjamin Franzke <ben@bnf.dev>Tested-by: Andreas Fernandez <a.fernandez@scripting-base.de>Tested-by: Andreas Nedbal <andy@pixelde.su>Reviewed-by: Andreas Nedbal <andy@pixelde.su>",0
Fix regex ,1
ci: adapt to new MongoDB lifecycle schedule (#8195),0
"[Feature]: Manage select options via interface (#14454)Add Select Options management interface via Settings > Data Objects submenu.Add selectoptions permission to allow access to management interface.Add options source selection to select fields definition to switch betweendirect configuration, select options or class / service configuration.Generate configuration file and enum to store select options.Introduce OptionsProviderInterface to detect field definitions using provider.Introduce OptionsProviderTrait to share properties between select types.Update classes rebuild command to also rebuild select options.Add PHP and JavaScript reserved words helper classes.Add and update documentation.Relates to #3409",0
删除废弃方法 优化多语言检测 ,1
Update dependency com.github.eirslett:frontend-maven-plugin to v1.14.0 (#2382)[Misc] Upgrade to frontend-maven-plugin v1.14.0,0
"Revert ""Update app.php""This reverts commit 9b58c07d3280592cb9c1a2b47156a553afc4dca3.",0
Fix typo,0
Update index.php,0
"Masked username (#1943)* Masked progress* Masked username* Progress* Updates* Cleanup",0
fix: added missing conversion to HTML entities ,1
Update WebPImagePlugin.pyAutomatically load duration,0
jSuites 5 editor - security fixes. ,1
"[TASK] Use descriptions over placeholders in sys_file_storageIt is best practice to use permanently visible information to help tofill out forms of any kind. In case of sys_file_storage the placeholderis even partially cut off, so one can't read the whole text.Resolves: #102150Releases: main, 12.4Change-Id: I8ad357470b4ff7a42454aba77c14cc8b6a532e8bReviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/81416Reviewed-by: Oliver Klee <typo3-coding@oliverklee.de>Tested-by: core-ci <typo3@b13.com>Reviewed-by: Christian Kuhn <lolli@schwarzbu.ch>Tested-by: Christian Kuhn <lolli@schwarzbu.ch>Tested-by: Nikita Hovratov <nikita.h@live.de>Reviewed-by: Nikita Hovratov <nikita.h@live.de>Tested-by: Oliver Klee <typo3-coding@oliverklee.de>",0
update,0
[3.1.x] Fixed CVE-2021-35042 -- Prevented SQL injection in QuerySet.o… …rder_by().Regression introduced in 5139487by marking the raw SQL column reference feature for deprecation inDjango 4.0 while lifting the column format validation.In retrospective the validation should have been kept around and theuser should have been pointed at using RawSQL expressions during thedeprecation period.The main branch is not affected because the raw SQL column referencesupport has been removed in 06eec31per the 4.0 deprecation life cycle.Thanks Joel Saunders for the report.,1
Expose InMemoryUserAdapter to services and model modulesPart-of: Add support for not importing brokered user into Keycloak databaseCloses: #11334,0
"[BUGFIX] Mark broken links in RTE againThe possibility to mark broken links with the `data-rte-error`attribute and styling was removed in TYPO3 v12.This is now added again to allow for linkvalidator and otherextensions to mark broken links which will then be visiblystyled differently when editing in the RTE.This affects only the backend. The attribute data-rte-error isremoved when persisting the content to the database.The logic for adding this attribute is still in place:The linkvalidator uses the event `BrokenLinkAnalysisEvent`which is dispatched in `RteHtmlParser`.A marked broken link may look like this:```html<a href=""t3://page?uid=42""  data-rte-error=""External link is broken"">link</a>```Note that the functionality got disabled with the new ckeditorin #96874 while the implementing plugin ""showbrokenlinks"" wasremoved later with #98497. The CSS is therefore restored fromthe state as of before #98497.Resolves: #101357Related: #96874Related: #98497Releases: main, 12.4Change-Id: I898b1de1b9bb9bf334740dc3b7ec8eb70627bed4Reviewed-on: https://review.typo3.org/c/Packages/TYPO3.CMS/+/80035Tested-by: Benjamin Franzke <ben@bnf.dev>Reviewed-by: Stefan Bürk <stefan@buerk.tech>Tested-by: core-ci <typo3@b13.com>Reviewed-by: Benjamin Franzke <ben@bnf.dev>Tested-by: Stefan Bürk <stefan@buerk.tech>",1
Merge branch '3.2',0
Fix: ExtLogin has no last time.,0
Redirect references from the lib target to the new single-source-file targets.PiperOrigin-RevId: 574892978,0
feat: added skeleton class for upgrade,0
Optimization of format conversion functio / 对格式转换功能的优化,0
get ver from composer.json,0
docs: remove diamond sponsors from README,0
Fix error management ,1
InGamePacketHandler: check the validity of facing values given by the… … client,1
Apply php-cs-fixer changes,0
"Vmware vminfo modernize (#15008)* Vmware vminfoRemove legacy file and migrate to OS discovery* tighter* ios_stp-vlans working correctly now* Make vmwVmGuestOS nullable* Discover os info too* VM Info module* Apply fixes from StyleCI* Fix log severity* Fix log severity (more)* VM Info module* Poll with ESXi too because it is lightweightadd test data* poller data now too---------Co-authored-by: StyleCI Bot <bot@styleci.io>",0
bug,0
Upload file vulnerability ,1
avoid use of |safe filter in templates Explicitly mark those few places where we need to pass in data thatshould not be escaped on the Python side.,1
"Nicer show/hide if encrypted, warn if already encryptedSigned-off-by: snipe <snipe@snipe.net>",0
Prevent another division by zero. PiperOrigin-RevId: 369338598Change-Id: I55471d363e401fdcf8d259670ad4eef672b731e2,1
closes https://github.com/balderdashy/sails/issues/7209 ,1
Encrypt password with password salt / 用密码盐加密密码,0
Set proper last_msg_id,1
compat: Update forward compatibility horizon to 2023-10-18PiperOrigin-RevId: 574405566,0
Removed namespaces from messages (#23205),0
Fix open redirect vulnerability on the login page ,1
Added new fields to bladesSigned-off-by: snipe <snipe@snipe.net>,0
MDL-79539 core: handling negative input to get the upper valueCo-authored-by: Alain Corbière <alain.corbiere@univ-lemans.fr>,1
MDL-78750 communication_matrix: Fixed available providers,0
